model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
NN3_ensemble,8.28306405694813e-05,1.5878056703243957e-05,0.24739318511801867,0.10082176035763216,81.48928297909885,0.0,0.0471236793467783,1.3451451250906898e-09,1.138558779847871e-09,2.4876654252056484e-09,AAPL
NN3_top1,0.00010049069057022333,1.1509452167592707e-05,0.13952742279418703,0.06839197837936156,177.6970010477147,0.0,0.0261319836946432,1.0800069330199306e-09,2.5946736259390444e-09,2.5424682515099666e-09,AAPL
NN4_ensemble,7.639599557651958e-05,1.5316024266107207e-05,0.29454216737116035,0.0998419405450427,69.92348003803059,6.661338147750939e-16,0.0534388995312397,1.095875033817307e-09,8.00313429702225e-10,2.4711783380937803e-09,AAPL
NN4_top1,0.00010269962473578108,1.122487942549069e-05,0.13638539876763778,0.06272183578449786,217.73690652728527,0.0,0.018685938631669563,4.095582636449726e-10,1.9560256736115982e-09,2.561907572706429e-09,AAPL
HAR,5.292654840674724e-05,3.510365665082299e-05,0.6295226690012484,0.1519149267221115,28.855282490197816,5.421943908290316e-07,0.19444320943808213,1.1379062374828926e-09,3.0602933886725735e-10,3.6607149670081906e-09,AMZN
LogHAR,8.593567213076954e-05,2.3163344080311445e-05,0.4790638772053843,0.09674580297021172,56.89704898898832,4.4153569689342476e-13,0.22172057603063855,1.466438245108674e-09,1.1914006886268862e-09,3.5367576429363683e-09,AMZN
LevHAR,7.051034627208429e-05,2.6348834054814176e-05,0.570844052626232,0.11835956922814542,25.317050732991845,3.1803307202205033e-06,0.21587221437335125,7.276102680901082e-10,5.544492597366858e-10,3.563334521565091e-09,AMZN
SHAR,5.2269662021820376e-05,3.411536742970659e-05,0.6324875335548314,0.14783789105902942,28.937048815706696,5.204747777209917e-07,0.19713720383754096,1.1340019874830447e-09,3.0246738754786474e-10,3.648472570525805e-09,AMZN
HARQ,8.28927004440821e-05,2.2673584608135272e-05,0.49510327662573816,0.09588335796924245,51.496580502870486,6.5714100827563016e-12,0.1888094549373438,1.3479628779903097e-09,8.922919889790072e-10,3.6863166001431e-09,AMZN
HAR-X,0.0001193787362753616,2.397641105482985e-05,0.3744413715153159,0.10854765606119361,36.642769251928684,1.1043932768295406e-08,0.12745932218851896,2.437188104462359e-10,1.6166266711084256e-09,3.9651117785996095e-09,AMZN
